TR	1.0,1.007230291114353,1.031394685101795,1.0187099638485446,1.0245449356250396
TR	1.0,0.9809885931558936,0.9923954372623575,1.0,0.9315589353612168
TR	1.0,0.9893329986823115,0.9964861642718202,1.0203927966367572,1.009851289452218
TR	1.0,0.9887218045112781,0.9699248120300752,0.9812030075187969,0.8421052631578948
TE	1.0,0.9992488262910798,0.9943661971830986,0.9932394366197183,1.0179655712050077
TE	1.0,0.9961117002474372,1.0021208907741253,0.951219512195122,0.9544008483563097
TE	1.0,1.0114068441064639,1.0,0.9581749049429659,1.0266159695817492
TE	1.0,0.9945834889802017,0.9938363840119536,0.9889802017183413,1.0161872743120408
TE	1.0,1.0035473572188718,0.9996452642781127,1.0056757715501952,0.9638169563675062
TE	1.0,1.0,1.0114068441064639,1.0,0.9923954372623575
CV	1.0,1.0155817174515236,1.0079639889196677,0.9761080332409973,0.9085872576177285
CV	1.0,1.0215776441457376,1.0374955783516093,1.0297134771842944,0.9165192783869827
